location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft
8th block Koramangala,3 Bedroom,1846.0,3.0,2.0,365853.65853658534,3,19818724.731125966
Jakkuru Layout,2 BHK,1340.0,2.0,2.0,67926.82926829268,2,5069166.363305424
Electronic City,2 BHK,1025.0,2.0,1.0,56097.560975609755,2,5472932.778108268
KR Puram,2 BHK,1277.5,2.0,0.0,69268.29268292683,2,5422175.552479595
Marathahalli,2 BHK,1200.0,2.0,2.0,63414.634146341465,2,5284552.845528455
Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,134146.34146341463,4,5962059.620596206
Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,97560.9756097561,3,6294256.490952007
Ejipura,7 Bedroom,1800.0,7.0,1.0,304878.0487804878,7,16937669.376693767
Marathahalli,2 BHK,1200.0,2.0,2.0,73170.73170731707,2,6097560.975609755
Yelahanka,2 BHK,1327.0,2.0,2.0,119512.19512195123,2,9006194.055911923
Kothanur,2 BHK,1186.0,2.0,2.0,70731.70731707317,2,5963887.632130959
MS Pallya,3 Bedroom,1783.0,3.0,1.0,140243.9024390244,3,7865614.270276186
HSR Layout,3 BHK,1400.0,3.0,2.0,68292.68292682926,3,4878048.780487805
Nagasandra,2 BHK,980.0,2.0,1.0,58536.58536585366,2,5973120.9556993535
EPIP Zone,2 BHK,1285.0,2.0,2.0,100000.0,2,7782101.167315175
Langford Town,3 BHK,912.0,2.0,1.0,85365.85365853658,3,9360290.971330766
Whitefield,2 BHK,1225.0,2.0,2.0,58048.78048780488,2,4738675.958188154
Whitefield,2 BHK,1075.0,2.0,1.0,64634.14634146341,2,6012478.729438457
Kadugodi,3 BHK,1260.0,2.0,2.0,65853.65853658537,3,5226480.836236934
Yelahanka,3 BHK,1282.0,2.0,2.0,59390.243902439026,3,4632624.329363418
Kogilu,3 BHK,1909.0,3.0,2.0,107317.0731707317,3,5621638.196476255
Panathur,2 BHK,1359.0,2.0,1.0,106097.56097560975,2,7807031.712701233
Nagondanahalli,2 BHK,1207.0,2.0,2.0,53048.78048780488,2,4395093.660961465
Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,231707.31707317074,4,13347195.683938406
1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,521951.2195121951,4,18314077.877620883
Kammasandra,3 BHK,1595.0,3.0,2.0,79268.29268292683,3,4969798.914290084
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,108536.58536585367,3,6036517.539813886
Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,95475.60975609758,3,6472922.69532865
Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,121951.21951219512,3,7718431.6146958945
Dasarahalli,2 BHK,1295.0,2.0,1.0,79268.29268292683,2,6121103.682079292
Magadi Road,6 Bedroom,3600.0,6.0,0.0,171951.21951219512,6,4776422.764227643
Electronic City,1 BHK,589.0,1.0,1.0,32926.829268292684,1,5590293.593937637
Ngef Layout,3 BHK,1415.0,3.0,3.0,95121.9512195122,3,6722399.379470826
Sarjapur  Road,3 BHK,1787.0,3.0,2.0,119865.85365853658,3,6707658.290908595
Sarjapur  Road,3 BHK,1787.0,3.0,2.0,152439.0243902439,3,8530443.446572127
Koramangala,3 BHK,1475.0,2.0,3.0,109756.09756097561,3,7441091.360066143
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,92073.17073170732,4,4603658.536585366
Sarjapur  Road,2 BHK,984.0,2.0,1.0,54000.0,2,5487804.87804878
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,317073.1707317073,3,13183915.622940013
7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,87804.87804878049,2,8130081.300813009
Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,140243.9024390244,2,9349593.49593496
Hebbal,3 BHK,1900.0,3.0,2.0,145121.9512195122,3,7637997.432605906
Dommasandra,2 BHK,805.0,2.0,1.0,27000.0,2,3354037.267080745
Budigere,2 BHK,1153.0,2.0,2.0,68780.48780487805,2,5965350.199902694
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,73170.73170731707,2,6373757.117362114
Mylasandra,2 BHK,1110.0,2.0,2.0,67073.17073170732,2,6042627.993847506
Electronic City,2 BHK,1100.0,2.0,2.0,51219.51219512195,2,4656319.2904656315
Kalyan nagar,2 BHK,1290.0,2.0,2.0,134146.34146341463,2,10398941.198714312
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,79268.29268292683,3,5284552.845528455
Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,47560.9756097561,2,4403794.037940379
Vijayanagar,3 BHK,1933.0,3.0,1.0,157317.07317073172,3,8138493.180068893
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,182926.82926829267,5,5226480.836236933
Kullappa Colony,2 BHK,1060.0,2.0,2.0,73170.73170731707,2,6902899.217671421
Chandapura,1 BHK,645.0,1.0,1.0,20060.975609756097,1,3110228.776706372
Mukkutam Nagar,8 Bedroom,2600.0,8.0,2.0,219512.19512195123,8,8442776.735459663
Chandapura,1 BHK,645.0,1.0,1.0,20060.975609756097,1,3110228.776706372
Ashwath Nagar,3 BHK,1644.0,3.0,3.0,102439.0243902439,3,6231084.2086523045
Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,88414.63414634146,2,6880516.27597988
Electronic City,3 Bedroom,1200.0,3.0,1.0,109756.09756097561,3,9146341.463414634
Electronic City,2 BHK,910.0,2.0,1.0,48780.48780487805,2,5360493.165371215
Kothanur,3 BHK,1577.0,3.0,1.0,85365.85365853658,3,5413180.320769599
Meenakunte,3 Bedroom,4050.0,3.0,2.0,341463.4146341463,3,8431195.42306534
OMBR Layout,3 BHK,2420.0,3.0,2.0,225609.75609756098,3,9322717.19411409
Chandapura,2 BHK,800.0,1.0,1.0,24390.243902439026,2,3048780.4878048785
Anand Nagar,2 BHK,1060.0,2.0,2.0,67073.17073170732,2,6327657.616198803
7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,113414.63414634146,2,8930286.153255234
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,27439.024390243903,2,3048780.487804878
Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,84146.34146341463,2,6573932.926829268
Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,115853.65853658537,4,9654471.544715447
Sarjapur  Road,2 BHK,1025.0,2.0,2.0,43902.439024390245,2,4283164.782867341
Electronic City,2 BHK,1108.0,2.0,1.0,76829.26829268293,2,6934049.484899182
Coffee Board Layout,3 BHK,3045.0,3.0,2.0,207317.07317073172,3,6808442.468661141
Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,365853.65853658534,4,12615643.397813287
Vijayanagar,3 BHK,1500.0,3.0,2.0,92073.17073170732,3,6138211.382113822
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,53536.58536585366,2,4134099.256050476
Budigere,2 BHK,1162.0,2.0,1.0,73048.78048780488,2,6286469.921497839
Sarjapur  Road,2 BHK,1035.0,2.0,2.0,60000.0,2,5797101.449275362
Attibele,4 Bedroom,1600.0,4.0,0.0,64390.243902439026,4,4024390.243902439
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,56097.560975609755,3,3831800.613088098
Hennur Road,3 BHK,1866.0,2.0,2.0,75097.56097560975,3,4024520.952605024
Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,31707.317073170732,2,4529616.724738676
Kalena Agrahara,3 BHK,1804.0,3.0,2.0,146341.46341463414,3,8112054.513006327
Sarjapur,2 BHK,913.0,2.0,1.0,39024.39024390244,2,4274303.422114178
Talaghattapura,3 BHK,1868.0,3.0,2.0,159756.0975609756,3,8552253.616754582
Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,54878.04878048781,2,6214954.561776648
Sundara Nagar,2 Bedroom,900.0,2.0,1.0,134146.34146341463,2,14905149.051490515
Kogilu,3 BHK,1664.0,2.0,3.0,90182.9268292683,3,5419647.045028144
Hegde Nagar,3 BHK,2026.0,3.0,2.0,160975.60975609755,3,7945489.129126236
Balagere,2 BHK,1210.0,2.0,1.0,98658.53658536586,2,8153598.06490627
Meenakunte,4 Bedroom,4111.0,4.0,2.0,304878.0487804878,4,7416152.974470635
Kadugodi,3 BHK,1762.0,3.0,3.0,111524.39024390244,3,6329420.558677778
Jigani,3 BHK,1252.0,3.0,3.0,67073.17073170732,3,5357282.007324865
Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,42073.170731707316,2,4886547.123310954
7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,121951.21951219512,3,8588114.050154587
Srirampura,6 Bedroom,1450.0,6.0,0.0,304878.0487804878,6,21026072.329688814
Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,96097.56097560975,3,6449500.736618104
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,56097.560975609755,3,5218377.765173
Old Madras Road,3 BHK,1425.0,2.0,2.0,114634.14634146342,3,8044501.497646555
Kalena Agrahara,2 BHK,1200.0,2.0,1.0,48780.48780487805,2,4065040.6504065045
Kaggadasapura,3 BHK,1280.0,2.0,2.0,68292.68292682926,3,5335365.853658536
Silver Springs Layout,2 BHK,1084.0,2.0,2.0,60975.60975609756,2,5625056.250562506
Chandapura,2 BHK,1015.0,2.0,2.0,31560.975609756097,2,3109455.725099123
Kanakpura Road,2 BHK,1017.0,2.0,1.0,62500.0,2,6145526.057030482
Haralur Road,2 BHK,1027.0,2.0,2.0,53658.53658536585,2,5224784.477640297
Electronic City Phase II,2 BHK,1069.0,2.0,2.0,54878.04878048781,2,5133587.350840768
Hebbal,2 BHK,1349.0,2.0,1.0,119756.09756097561,2,8877397.891844004
9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,60975.60975609756,2,6067224.851352992
Jakkur,2 BHK,1417.0,2.0,3.0,91463.41463414633,2,6454722.274816255
TC Palaya,3 Bedroom,1475.0,3.0,1.0,119512.19512195123,3,8102521.703183133
Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,57317.07317073171,2,6033376.1232349165
RMV 2nd Stage,4 BHK,2000.0,4.0,0.0,146341.46341463414,4,7317073.170731707
Giri Nagar,3 Bedroom,880.0,3.0,1.0,170731.70731707316,3,19401330.37694013
Sarjapur  Road,4 BHK,1863.0,3.0,2.0,126829.26829268293,4,6807797.5465745
Singasandra,2 BHK,1010.0,2.0,1.0,35975.60975609756,2,3561941.5600096593
Kalena Agrahara,3 BHK,1425.0,2.0,1.0,85365.85365853658,3,5990586.22165169
Vijayanagar,3 BHK,1450.0,3.0,0.0,121951.21951219512,3,8410428.931875527
Kothanur,3 BHK,1847.0,3.0,2.0,128048.78048780488,3,6932798.077303999
AECS Layout,2 BHK,1100.0,2.0,3.0,54878.04878048781,2,4988913.525498891
Kanakpura Road,1 BHK,525.0,1.0,1.0,31707.317073170732,1,6039488.966318235
Mallasandra,3 BHK,1665.0,3.0,2.0,115853.65853658537,3,6958177.689885007
Begur,4 BHK,1664.0,4.0,3.0,79268.29268292683,4,4763719.5121951215
JP Nagar,3 BHK,1850.0,3.0,3.0,182926.82926829267,3,9887936.717205008
Panathur,2 BHK,1438.0,2.0,3.0,121951.21951219512,2,8480613.317955155
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,140243.9024390244,3,8989993.746091306
Yelahanka,2 BHK,1350.0,2.0,1.0,67743.90243902439,2,5018066.84733514
Kanakpura Road,3 BHK,1550.0,3.0,3.0,81707.31707317074,3,5271439.811172306
Malleshpalya,2 BHK,1140.0,2.0,2.0,56707.31707317073,2,4974326.059050064
Srirampura,5 Bedroom,1200.0,5.0,2.0,219512.19512195123,5,18292682.926829267
Kodathi,2 BHK,850.0,2.0,2.0,32926.829268292684,2,3873744.6197991394
Whitefield,2 BHK,1280.0,2.0,2.0,91463.41463414633,2,7145579.268292682
Munnekollal,2 BHK,1170.0,2.0,2.0,63414.634146341465,2,5420054.200542006
Motappa Layout,2 BHK,1113.0,2.0,1.0,62195.12195121951,2,5588061.271448294
